Date,Time,Transaction ID,Account Number (Sender),Account Name (Sender),Account Number (Receiver),Account Name (Receiver),Category,Amount,Transaction Type,Description
2024-11-21,15:38:23,T5892885,AC63624678,HDFC Bank,AC77393511,Bharti Airtel,Entertainment,502.64,Debit,Auto-generated transaction details
2024-11-21,15:38:23,T3788978,AC81993464,Bharti Airtel,AC27221260,Diya,Food,5800.6,Credit,Auto-generated transaction details
2024-11-21,15:38:23,T7154205,AC85500755,Akash,AC10688619,State Bank of India,Shopping,3063.54,Debit,Auto-generated transaction details
2024-11-21,15:38:23,T8687889,AC35999771,Priya,AC38451211,Bharti Airtel,Miscellaneous,455.52,Credit,Auto-generated transaction details
2024-11-21,15:38:23,T1950586,AC26587938,Nikhil,AC43456357,Karthik,Shopping,1104.1,Credit,Auto-generated transaction details
2024-11-21,15:38:23,T9217528,AC81061275,Bajaj Finserv,AC34384463,Adani Enterprises,Shopping,387.9,Debit,Auto-generated transaction details
2024-11-21,15:38:23,T6833288,AC22482684,Nikhil,AC96382034,Aditi,Miscellaneous,5775.88,Credit,Auto-generated transaction details
2024-11-22,15:38:23,T9548430,AC13474666,Infosys,AC64028233,Adani Enterprises,Entertainment,5264.16,Debit,Auto-generated transaction details
2024-11-22,15:38:23,T7365523,AC36270870,Siddharth,AC14364445,Ishita,Healthcare,8568.23,Debit,Auto-generated transaction details
2024-11-22,15:38:23,T2231810,AC86360145,Wipro,AC74838684,State Bank of India,Shopping,8246.37,Debit,Auto-generated transaction details
2024-11-22,15:38:23,T1845165,AC59213967,Aditi,AC96347379,Aarav,Education,5921.13,Debit,Auto-generated transaction details
2024-11-23,15:38:23,T9463477,AC33352595,Larsen & Toubro,AC23934314,Mahindra & Mahindra,Education,5542.68,Debit,Auto-generated transaction details
2024-11-23,15:38:23,T5999641,AC65228519,Axis Bank,AC64917530,Hindustan Unilever,Entertainment,5041.23,Debit,Auto-generated transaction details
2024-11-24,15:38:23,T4872823,AC26422229,Maruti Suzuki,AC74796792,Reliance Industries,Utilities,4400.8,Credit,Auto-generated transaction details
2024-11-24,15:38:23,T2091483,AC77156799,Siddharth,AC91907530,ICICI Bank,Miscellaneous,4825.57,Debit,Auto-generated transaction details
2024-11-24,15:38:23,T7635909,AC47210334,Pooja,AC69425851,Siddharth,Healthcare,542.44,Debit,Auto-generated transaction details
2024-11-24,15:38:23,T4915861,AC58679452,Larsen & Toubro,AC57296122,Reliance Industries,Education,6201.33,Debit,Auto-generated transaction details
2024-11-24,15:38:23,T3905511,AC69356980,Wipro,AC19701639,Bajaj Finserv,Miscellaneous,8321.47,Debit,Auto-generated transaction details
2024-11-24,15:38:23,T8615035,AC50028455,State Bank of India,AC51911278,Sneha,Utilities,4411.49,Debit,Auto-generated transaction details
2024-11-24,15:38:23,T3154463,AC17982886,Mahindra & Mahindra,AC21456180,HDFC Bank,Shopping,1390.84,Credit,Auto-generated transaction details
2024-11-25,15:38:23,T8277901,AC18617945,Bharti Airtel,AC48607264,Neha,Transport,3346.69,Credit,Auto-generated transaction details
2024-11-25,15:38:23,T4526151,AC73203487,Larsen & Toubro,AC55198615,Reliance Industries,Utilities,2086.96,Debit,Auto-generated transaction details
2024-11-25,15:38:23,T6060078,AC70010419,Aarav,AC48924394,Hindustan Unilever,Education,1771.36,Debit,Auto-generated transaction details
2024-11-26,15:38:23,T3683911,AC85331471,Akash,AC47762014,Mahindra & Mahindra,Utilities,9840.52,Debit,Auto-generated transaction details
2024-11-26,15:38:23,T2265325,AC97004426,Hindustan Unilever,AC14020892,Aarav,Education,7156.91,Credit,Auto-generated transaction details
2024-11-26,15:38:23,T3302105,AC98043017,HDFC Bank,AC27863213,Pooja,Miscellaneous,4609.55,Debit,Auto-generated transaction details
2024-11-26,15:38:23,T2268401,AC77154702,Ananya,AC23389525,Arjun,Entertainment,571.88,Debit,Auto-generated transaction details
2024-11-26,15:38:23,T2902670,AC95296988,Rajesh,AC22637549,Meera,Utilities,6336.09,Credit,Auto-generated transaction details
2024-11-26,15:38:23,T2360060,AC50081657,Bajaj Finserv,AC10052192,State Bank of India,Utilities,6708.32,Credit,Auto-generated transaction details
2024-11-26,15:38:23,T2101222,AC24319961,ICICI Bank,AC56045115,Meera,Entertainment,3729.88,Credit,Auto-generated transaction details
2024-11-26,15:38:23,T5406146,AC89687065,State Bank of India,AC35557150,Siddharth,Healthcare,1808.32,Debit,Auto-generated transaction details
2024-11-26,15:38:23,T7469365,AC16908585,Ishita,AC98607806,Infosys,Transport,2921.21,Credit,Auto-generated transaction details
2024-11-27,15:38:23,T5113882,AC44192026,Hindustan Unilever,AC89633854,Maruti Suzuki,Food,4447.7,Debit,Auto-generated transaction details
2024-11-28,15:38:23,T1309522,AC14014656,Adani Enterprises,AC80029887,Priya,Utilities,6816.82,Credit,Auto-generated transaction details
2024-11-28,15:38:23,T5634119,AC50486048,Neha,AC66114885,Maruti Suzuki,Education,5302.54,Debit,Auto-generated transaction details
2024-11-28,15:38:23,T7909432,AC53079241,Axis Bank,AC74022227,Arjun,Transport,1807.56,Credit,Auto-generated transaction details
2024-11-28,15:38:23,T5270663,AC85336583,State Bank of India,AC98244149,Aarav,Entertainment,7586.94,Credit,Auto-generated transaction details
2024-11-29,15:38:23,T7983445,AC94382994,Siddharth,AC52083899,Priya,Utilities,9225.22,Debit,Auto-generated transaction details
2024-11-29,15:38:23,T4544167,AC81699023,Reliance Industries,AC45008863,Akash,Utilities,6579.75,Credit,Auto-generated transaction details
2024-11-29,15:38:23,T1722957,AC96628174,HDFC Bank,AC33980518,Mahindra & Mahindra,Miscellaneous,226.72,Debit,Auto-generated transaction details
2024-11-29,15:38:23,T9479081,AC19237743,Bharti Airtel,AC98922421,HDFC Bank,Healthcare,5100.94,Debit,Auto-generated transaction details
2024-11-29,15:38:23,T2880390,AC34736176,Ishita,AC22451192,HDFC Bank,Transport,3919.63,Debit,Auto-generated transaction details
2024-11-29,15:38:23,T6148235,AC15412739,Larsen & Toubro,AC86089046,Adani Enterprises,Miscellaneous,8644.43,Debit,Auto-generated transaction details
2024-11-29,15:38:23,T5891727,AC45932046,Neha,AC32548925,Meera,Healthcare,4194.18,Debit,Auto-generated transaction details
2024-11-29,15:38:23,T4185206,AC29667105,Meera,AC86876393,Sneha,Entertainment,3075.96,Credit,Auto-generated transaction details
2024-11-29,15:38:23,T1094584,AC84056993,Lakshmi,AC20432937,Maruti Suzuki,Education,3044.73,Credit,Auto-generated transaction details
2024-11-29,15:38:23,T4156497,AC14084197,Akash,AC16944600,Aarav,Entertainment,9700.67,Debit,Auto-generated transaction details
2024-11-30,15:38:23,T8013007,AC73637692,Kabir,AC29632250,Aarav,Miscellaneous,4414.45,Credit,Auto-generated transaction details
2024-12-01,15:38:23,T9510327,AC95218190,ICICI Bank,AC19431379,Tata Consultancy Services,Education,8361.8,Credit,Auto-generated transaction details
2024-12-01,15:38:23,T3356064,AC97221371,Siddharth,AC73182540,Sneha,Transport,9473.84,Credit,Auto-generated transaction details
2024-12-01,15:38:23,T6464713,AC26809928,Wipro,AC43773946,Bharti Airtel,Food,4134.58,Debit,Auto-generated transaction details
2024-12-01,15:38:23,T8077414,AC30357109,Lakshmi,AC20751699,Neha,Miscellaneous,9372.84,Credit,Auto-generated transaction details
2024-12-01,15:38:23,T8664741,AC86169877,Tata Consultancy Services,AC58668394,Wipro,Entertainment,7341.18,Credit,Auto-generated transaction details
2024-12-01,15:38:23,T9426782,AC32410541,ICICI Bank,AC88086459,Vikram,Entertainment,9144.5,Credit,Auto-generated transaction details
2024-12-01,15:38:23,T6507441,AC91153308,Bajaj Finserv,AC14368250,Ishita,Entertainment,8806.04,Debit,Auto-generated transaction details
2024-12-01,15:38:23,T2016346,AC95213492,Hindustan Unilever,AC79349025,Adani Enterprises,Education,5134.31,Debit,Auto-generated transaction details
2024-12-02,15:38:23,T5318639,AC15860224,Aarav,AC47395865,Aditi,Education,495.96,Debit,Auto-generated transaction details
2024-12-02,15:38:23,T5207862,AC16957728,Sneha,AC86567976,Ananya,Healthcare,2884.38,Credit,Auto-generated transaction details
2024-12-02,15:38:23,T4946059,AC18118823,Aarav,AC10980834,Bajaj Finserv,Entertainment,402.12,Credit,Auto-generated transaction details
2024-12-02,15:38:23,T6515880,AC16266151,Larsen & Toubro,AC31918856,Larsen & Toubro,Food,6436.72,Credit,Auto-generated transaction details
2024-12-02,15:38:23,T4946178,AC23032719,Larsen & Toubro,AC68576024,Kabir,Transport,8188.96,Credit,Auto-generated transaction details
2024-12-02,15:38:23,T6088853,AC15683837,Akash,AC41386587,Diya,Miscellaneous,6420.51,Debit,Auto-generated transaction details
2024-12-02,15:38:23,T2029599,AC23530304,Aarav,AC43273369,Larsen & Toubro,Entertainment,8121.89,Debit,Auto-generated transaction details
2024-12-02,15:38:23,T6038799,AC88562083,Bharti Airtel,AC29628281,Pooja,Shopping,4186.04,Credit,Auto-generated transaction details
2024-12-02,15:38:23,T7078749,AC50555207,Larsen & Toubro,AC81476128,Larsen & Toubro,Shopping,2168.79,Debit,Auto-generated transaction details
2024-12-03,15:38:23,T5446697,AC46563542,Siddharth,AC66209262,Maruti Suzuki,Entertainment,5844.2,Credit,Auto-generated transaction details
2024-12-03,15:38:23,T7027270,AC83866123,Kabir,AC52950184,Pooja,Healthcare,4425.99,Credit,Auto-generated transaction details
2024-12-03,15:38:23,T2222246,AC55833514,Rajesh,AC77023343,Rohan,Transport,6506.38,Debit,Auto-generated transaction details
2024-12-03,15:38:23,T4892921,AC39726791,Infosys,AC31021579,Rajesh,Healthcare,5286.97,Credit,Auto-generated transaction details
2024-12-03,15:38:23,T1574679,AC49968634,Diya,AC57997459,State Bank of India,Education,4114.63,Credit,Auto-generated transaction details
2024-12-03,15:38:23,T3874764,AC99386610,Vikram,AC44645942,Siddharth,Utilities,4557.06,Credit,Auto-generated transaction details
2024-12-03,15:38:23,T8792774,AC97995181,Ishita,AC28005421,Rajesh,Entertainment,2955.72,Credit,Auto-generated transaction details
2024-12-03,15:38:23,T6729351,AC21407700,State Bank of India,AC97926829,Sneha,Transport,8464.05,Debit,Auto-generated transaction details
2024-12-03,15:38:23,T5836944,AC98962083,Karthik,AC49894160,Aditi,Education,7045.95,Credit,Auto-generated transaction details
2024-12-04,15:38:23,T3061571,AC77144998,Rohan,AC93055568,Aditi,Utilities,5655.73,Debit,Auto-generated transaction details
2024-12-04,15:38:23,T5002081,AC55736544,Karthik,AC33799333,Aarav,Food,9506.02,Credit,Auto-generated transaction details
2024-12-04,15:38:23,T3866708,AC80491197,Aditi,AC48492290,Aarav,Shopping,7773.99,Credit,Auto-generated transaction details
2024-12-04,15:38:23,T6280438,AC16616637,Neha,AC57366702,Priya,Transport,7809.71,Debit,Auto-generated transaction details
2024-12-04,15:38:23,T4615858,AC87048911,Ananya,AC26382258,Infosys,Utilities,8556.68,Debit,Auto-generated transaction details
2024-12-04,15:38:23,T9819031,AC69746770,Diya,AC43064902,Ishita,Education,7686.12,Debit,Auto-generated transaction details
2024-12-04,15:38:23,T4284968,AC57437863,Mahindra & Mahindra,AC16987395,Mahindra & Mahindra,Entertainment,5361.46,Debit,Auto-generated transaction details
2024-12-04,15:38:23,T6638485,AC56913297,Axis Bank,AC56314466,Pooja,Transport,119.0,Debit,Auto-generated transaction details
2024-12-05,15:38:23,T9371031,AC11950450,Hindustan Unilever,AC91769402,Maruti Suzuki,Utilities,7490.56,Debit,Auto-generated transaction details
2024-12-05,15:38:23,T3253487,AC37403481,Vikram,AC37601037,Rohan,Transport,184.38,Debit,Auto-generated transaction details
2024-12-05,15:38:23,T7705487,AC88979616,Bajaj Finserv,AC38553870,Nikhil,Utilities,8063.38,Debit,Auto-generated transaction details
2024-12-06,15:38:23,T6137848,AC11010031,Hindustan Unilever,AC53717810,Maruti Suzuki,Transport,2678.07,Debit,Auto-generated transaction details
2024-12-07,15:38:23,T5801387,AC90416728,Akash,AC89096199,Axis Bank,Food,846.96,Debit,Auto-generated transaction details
2024-12-08,15:38:23,T1413786,AC93606498,Larsen & Toubro,AC45209649,Siddharth,Miscellaneous,5961.46,Debit,Auto-generated transaction details
2024-12-08,15:38:23,T4449695,AC52225217,Wipro,AC52143786,Meera,Utilities,2858.67,Credit,Auto-generated transaction details
2024-12-08,15:38:23,T7193442,AC82252081,Vikram,AC59872312,Lakshmi,Transport,3672.96,Credit,Auto-generated transaction details
2024-12-08,15:38:23,T8979270,AC48333153,Priya,AC79154462,Aarav,Healthcare,1976.88,Credit,Auto-generated transaction details
2024-12-08,15:38:23,T2203355,AC38610632,Kabir,AC83626675,Rajesh,Transport,1893.52,Debit,Auto-generated transaction details
2024-12-08,15:38:23,T3733961,AC37752852,Bharti Airtel,AC44526265,Arjun,Utilities,2938.76,Credit,Auto-generated transaction details
2024-12-08,15:38:23,T1756725,AC36373316,Arjun,AC50171971,Arjun,Shopping,1881.35,Debit,Auto-generated transaction details
2024-12-08,15:38:23,T8361029,AC82748130,Neha,AC90594791,ICICI Bank,Education,7614.39,Debit,Auto-generated transaction details
2024-12-09,15:38:23,T3820967,AC41131094,Reliance Industries,AC55868524,Meera,Transport,822.93,Debit,Auto-generated transaction details
2024-12-09,15:38:23,T7205988,AC86555195,Priya,AC59655911,Maruti Suzuki,Utilities,2425.14,Debit,Auto-generated transaction details
